JJ22FTW,391.462963
CluelessGamer18,388.8333333
LethalPilot,370.5714286
Jamez10,359.1111111
IceKing12323,356.037037
Astral_Jade,349
SuperToad916,340.2916667
KirynMissy,326.3333333
Star_Dragon4,316.9166667
BeanGangTingle,275.2592593
Abach6,261.1666667
Hunter13004,248.6666667
sapphronn,235.1666667
Lucid928,232.4722222
LightningLucario,217.1
IvanTT,203.5555556
NautilusReign,201.0277778
lgmusicfan,192.9444444
josie_elite,155
SpaghettiGremlin,134.3125
1800getpoop,127.2142857
GaymerMoment,107.7777778
QuinnQuimby,95.08333333
baysicalie03,89.72222222
AllieThaDon,74.33333333
tenparks,71.73333333
SerRonanIrwin,64
humilau,0
odsstel,0
#N/A,#N/A
